"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 12:43:18 GMT 2022","Wed Jun 29 12:43:18 GMT 2022","76","","Авторизация пользователя","","Авторизация пользователя","Авторизация пользователя","Авторизация пользователя",""
"passed","Wed Jun 29 12:43:18 GMT 2022","Wed Jun 29 12:43:18 GMT 2022","126","","Авторизация пользователя","","Авторизация пользователя","Создание пользователя","Создание пользователя",""
"passed","Wed Jun 29 12:43:19 GMT 2022","Wed Jun 29 12:43:19 GMT 2022","63","","Просмотр питомцев","","Просмотр питомцев","Получить список доступных питомцев","Получить список доступных питомцев",""
