"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 11 02:16:44 GMT 2022","Mon Jul 11 02:16:44 GMT 2022","31","","Просмотр питомцев","","Просмотр питомцев","Изменить статус питомца на ""продано"" и поменять имя","Изменить статус питомца на ""продано"" и поменять имя",""
"passed","Mon Jul 11 02:16:43 GMT 2022","Mon Jul 11 02:16:43 GMT 2022","40","","Авторизация пользователя","","Авторизация пользователя","Заполнение профиля пользователя","Заполнение профиля пользователя",""
"passed","Mon Jul 11 02:16:43 GMT 2022","Mon Jul 11 02:16:43 GMT 2022","113","","Авторизация пользователя","","Авторизация пользователя","Авторизация пользователя","Авторизация пользователя",""
"passed","Mon Jul 11 02:16:44 GMT 2022","Mon Jul 11 02:16:44 GMT 2022","36","","Просмотр питомцев","","Просмотр питомцев","Получить список доступных питомцев","Получить список доступных питомцев",""
"passed","Mon Jul 11 02:16:44 GMT 2022","Mon Jul 11 02:16:44 GMT 2022","63","","Просмотр питомцев","","Просмотр питомцев","Получить описание питомца по id","Получить описание питомца по id",""
"passed","Mon Jul 11 02:16:44 GMT 2022","Mon Jul 11 02:16:44 GMT 2022","20","","Оформить заказ на питомца","","Оформить заказ на питомца","Оформить заказ на питомца","Оформить заказ на питомца",""
